,CNTR_CODE,CNTR_NAME,LEVEL_CODE,forgottenVoters,willingnessPay,renewableSupport
2,AT,Austria,0,11,20,59
4,BE,Belgium,0,61,51,13
6,BG,Bulgaria,0,18,49,30
9,CZ,Czech Republic,0,27,43,94
10,DE,Germany,0,42,57,13
11,DK,Denmark,0,24,23,22
12,EE,Estonia,0,86,67,4
13,EL,Greece,0,72,95,74
14,ES,Spain,0,15,9,85
15,FI,Finland,0,70,72,82
16,FR,France,0,39,73,2
17,HR,Croatia,0,27,55,96
18,HU,Hungary,0,78,84,30
19,IE,Ireland,0,55,0,45
21,IT,Italy,0,18,91,72
23,LT,Lithuania,0,71,85,12
25,LV,Latvia,0,63,88,82
31,NL,Netherlands,0,73,70,43
33,PL,Poland,0,90,12,10
34,PT,Portugal,0,22,37,100
35,RO,Romania,0,71,7,38
37,SE,Sweden,0,43,10,79
38,SI,Slovenia,0,76,38,96
39,SK,Slovakia,0,20,28,18
43,UK,United Kingdom,0,88,98,53
